route_id,vehicle_id
71,y1995
71,y2021
71,y3145
16,y1809
16,y1722
16,y1831
16,y1877
16,y1923
240,y0764
240,y0767
240,y0828
743,y1320
743,y1305
743,y1319
743,y1308
743,y1303
743,y1316
9,y1737
9,y1720
9,y1794
9,y1804
9,y1897
9,y1872
9,y1854
39,y1203
39,y1264
39,y1211
39,y1268
39,y1265
39,y1205
39,y1208
39,y1266
10,y1869
10,y1822
10,y1844
10,y1829
Shuttle-Generic,ynk225
Shuttle-Generic,ynk257
Shuttle-Generic,ynk232
Shuttle-Generic,ynk305
Shuttle-Generic,ynk224
Shuttle-Generic,ynk254
Shuttle-Generic,ynk247
Shuttle-Generic,ynk256
Shuttle-Generic,ynk310
Shuttle-Generic,ynk218
Shuttle-Generic,ynk258
Shuttle-Generic,ynk303
Shuttle-Generic,ynk253
Shuttle-Generic,ynk251
Shuttle-Generic,ynk235
Shuttle-Generic,ynk233
Shuttle-Generic,ynk248
Shuttle-Generic,ynk193
Shuttle-Generic,ynk192
Shuttle-Generic,ynk207
Shuttle-Generic,ynk255
Shuttle-Generic,ynk229
Shuttle-Generic,ynk222
Shuttle-Generic,ynk236
Shuttle-Generic,ynk190
Shuttle-Generic,ynk231
Shuttle-Generic,ynk226
Shuttle-Generic,ynk240
Shuttle-Generic,ynk237
Shuttle-Generic,ynk174
Shuttle-Generic,ynk309
Shuttle-Generic,ynk302
Shuttle-Generic,ynk252
Shuttle-Generic,ynk223
Shuttle-Generic,ynk250
Shuttle-Generic,ynk249
Shuttle-Generic,ynk316
Shuttle-Generic,ynk234
Shuttle-Generic,ynk260
442,y3355
442,y3325
215,y0822
215,y0827
429,y3103
429,y3316
1,y1896
1,y1731
1,y1849
1,y1797
1,y1905
1,y1899
34E,y1704
34E,y1629
34E,y1622
22,y1886
22,y1821
22,y1815
22,y1883
22,y1788
86,y2105
86,y2059
86,y3135
741,y1337
741,y1339
741,y1342
741,y1334
117,y3348
117,y3341
117,y3352
117,y3336
109,y1964
109,y1998
109,y1996
104,y3131
104,y2012
104,y2086
101,y1978
101,y3118
101,y1440
101,y3140
101,y1987
21,y1655
21,y1713
749,y1277
749,y1282
749,y1279
749,y1293
44,y1924
44,y1799
354,y1418
87,y1991
87,y2035
65,y1800
51,y1660
51,y1702
73,y2075
73,y1983
73,y1945
134,y2028
134,y1404
32,y1665
32,y1600
32,y1632
137,y1405
137,y3152
28,y1254
28,y1209
28,y1251
28,y1263
28,y1201
28,y1261
28,y1214
111,y1928
111,y2040
111,y3158
111,y2114
111,y2074
111,y2072
111,y0898
89,y0843
89,y2056
83,y2079
42,y1692
45,y1792
45,y1892
70,y3151
70,y3159
70,y3115
70,y2038
24,y1696
24,y1670
435,y3319
435,y3353
435,y3105
435,y3111
47,y1878
47,y1871
132,y1956
8,y1811
8,y1909
8,y1903
66,y1852
66,y1838
66,y1834
66,y3246
66,y3288
66,y3273
66,y3286
553,y1817
553,y1776
350,y1950
350,y1961
350,y1963
57,y3265
57,y3287
57,y1744
57,y3227
57,y3215
57,y1750
57,y3262
30,y1638
211,y0789
77,y2062
77,y1999
77,y2052
77,y2063
77,y2002
77,y1925
238,y0807
238,y0800
238,y0825
220,y0781
41,y1698
41,y1608
15,y1845
15,y1863
15,y1858
15,y1728
15,y1856
751,y1274
751,y1286
4050,y1607
108,y2084
108,y2108
226,y0792
106,y1993
31,y1697
31,y1672
11,y1840
11,y1830
11,y1911
11,y1864
708,y1727
26,y1688
99,y1443
99,y3120
92,y2102
92,y3116
100,y1966
36,y1710
36,y1680
34,y1609
34,y1659
67,y3143
201,y0771
78,y2109
78,y2081
216,y0796
216,y0903
216,y0836
80,y2066
69,y2103
7,y1825
7,y1759
88,y1933
23,y1832
23,y1906
23,y1841
426,y3332
426,y3101
64,y2091
222,y0831
712,y3005
712,y3001
742,y1304
742,y1300
742,y1306
225,y0826
225,y0777
230,y0763
230,y0757
627,y2071
627,y1930
91,y2011
75,y2106
110,y1988
112,y1445
112,y0844
60,y1780
60,y1918
95,y1949
94,y0877
94,y0855
74,y2000
119,y1455
90,y2078
76,y2117
746,y1312
93,y2090
35,y1654
455,y3327
455,y3313
17,y1752
120,y3334
61,y1946
236,y0833
59,y1895
29,y1615
96,y2048
430,y2031
43,y1805
33,y1635
450,y1421
116,y3340
116,y3317
